BioSample_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	collection_date_s	env_biome_s	env_feature_s	env_material_s	isolate_s	lat_lon_s	Assay_Type_s	AssemblyName_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	Platform_s	ReleaseDate_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	geo_loc_name_s	host_s	source_s
SAMN03270362	P00397	Jan 09, 2015	680	251	SRR1748985	SRS802057	P00397	17-Jul-2013	city	subway	metal/plastic	P00397	40.70 N 73.95 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270363	P00398	Jan 09, 2015	1481	982	SRR1748986	SRS802056	P00398	17-Jul-2013	city	subway	metal	P00398	40.70 N 73.95 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270364	P00399	Jan 09, 2015	672	248	SRR1748987	SRS802058	P00399	17-Jul-2013	city	subway	metal	P00399	40.67 N 73.99 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270365	P00400	Jan 09, 2015	1195	783	SRR1748988	SRS802059	P00400	17-Jul-2013	city	subway	metal	P00400	40.71 N 73.95 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270366	P00401	Jan 09, 2015	728	270	SRR1748989	SRS802060	P00401	17-Jul-2013	city	subway	wood	P00401	40.71 N 73.95 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270367	P00402	Jan 09, 2015	1410	934	SRR1748990	SRS802061	P00402	18-Jul-2013	city	subway	wood	P00402	40.74 N 73.94 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270368	P00403	Jan 09, 2015	803	300	SRR1748991	SRS802063	P00403	18-Jul-2013	city	subway	metal/plastic	P00403	40.74 N 73.94 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270369	P00404	Jan 09, 2015	709	270	SRR1748992	SRS802064	P00404	18-Jul-2013	city	subway	metal	P00404	40.68 N 73.97 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270370	P00405	Jan 09, 2015	484	180	SRR1748993	SRS802066	P00405	18-Jul-2013	city	subway	metal	P00405	40.74 N 73.94 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270371	P00406	Jan 09, 2015	1217	812	SRR1748994	SRS802065	P00406	18-Jul-2013	city	subway	metal	P00406	40.74 N 73.94 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270372	P00408	Jan 09, 2015	491	187	SRR1748995	SRS802067	P00408	17-Jul-2013	city	subway	metal/plastic	P00408	40.69 N 73.98 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270373	P00409	Jan 09, 2015	551	210	SRR1748996	SRS802068	P00409	17-Jul-2013	city	subway	metal	P00409	40.68 N 73.97 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270374	P00410	Jan 09, 2015	510	193	SRR1748997	SRS802069	P00410	17-Jul-2013	city	subway	metal	P00410	40.68 N 73.97 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270375	P00411	Jan 09, 2015	563	215	SRR1748998	SRS802070	P00411	17-Jul-2013	city	subway	wood	P00411	40.67 N 73.98 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270376	P00412	Jan 09, 2015	1308	860	SRR1748999	SRS802071	P00412	17-Jul-2013	city	subway	wood	P00412	40.67 N 73.98 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270377	P00413	Jan 09, 2015	467	178	SRR1749000	SRS802072	P00413	17-Jul-2013	city	subway	metal/plastic	P00413	40.75 N 73.92 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270378	P00414	Jan 09, 2015	432	164	SRR1749001	SRS802079	P00414	17-Jul-2013	city	subway	metal	P00414	40.75 N 73.92 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270379	P00415	Jan 09, 2015	1924	1250	SRR1749002	SRS802073	P00415	17-Jul-2013	city	subway	metal	P00415	40.64 N 74.01 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270380	P00416	Jan 09, 2015	582	389	SRR1749003	SRS802075	P00416	17-Jul-2013	city	subway	metal	P00416	40.64 N 74.01 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270381	P00417	Jan 09, 2015	1038	690	SRR1749004	SRS802074	P00417	17-Jul-2013	city	subway	metal	P00417	40.61 N 74.03 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270382	P00419	Jan 09, 2015	542	206	SRR1749005	SRS802077	P00419	17-Jul-2013	city	subway	metal	P00419	40.70 N 74.00 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270383	P00420	Jan 09, 2015	549	203	SRR1749006	SRS802076	P00420	17-Jul-2013	city	subway	metal	P00420	40.70 N 74.00 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270384	P00421	Jan 09, 2015	646	243	SRR1749007	SRS802078	P00421	18-Jul-2013	city	subway	metal	P00421	40.77 N 73.91 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270385	P00422	Jan 09, 2015	1113	743	SRR1749008	SRS802080	P00422	18-Jul-2013	city	subway	metal	P00422	40.74 N 73.94 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270386	P00423	Jan 09, 2015	2669	1730	SRR1749009	SRS802081	P00423	18-Jul-2013	city	subway	metal	P00423	40.74 N 73.94 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270387	P00424	Jan 09, 2015	603	230	SRR1749010	SRS802082	P00424	18-Jul-2013	city	subway	metal	P00424	40.74 N 73.94 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270388	P00425	Jan 09, 2015	1422	932	SRR1749011	SRS802083	P00425	18-Jul-2013	city	subway	wood	P00425	40.74 N 73.93 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270389	P00426	Jan 09, 2015	2447	1610	SRR1749012	SRS802084	P00426	18-Jul-2013	city	subway	metal	P00426	40.74 N 73.93 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270390	P00427	Jan 09, 2015	1662	1107	SRR1749013	SRS802086	P00427	18-Jul-2013	city	subway	metal	P00427	40.74 N 73.94 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270391	P00428	Jan 09, 2015	1641	1087	SRR1749014	SRS802085	P00428	18-Jul-2013	city	subway	metal	P00428	40.74 N 73.89 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270392	P00429	Jan 09, 2015	575	220	SRR1749015	SRS802087	P00429	18-Jul-2013	city	subway	metal/plastic	P00429	40.74 N 73.89 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270393	P00430	Jan 09, 2015	657	247	SRR1749016	SRS802089	P00430	18-Jul-2013	city	subway	metal	P00430	40.74 N 73.88 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270394	P00431	Jan 09, 2015	448	167	SRR1749017	SRS802088	P00431	18-Jul-2013	city	subway	metal	P00431	40.72 N 73.84 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270395	P00432	Jan 09, 2015	1784	1170	SRR1749018	SRS802090	P00432	18-Jul-2013	city	subway	metal/plastic	P00432	40.72 N 73.84 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270396	P00433	Jan 09, 2015	518	196	SRR1749019	SRS802091	P00433	18-Jul-2013	city	subway	metal	P00433	40.74 N 73.88 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270397	P00434	Jan 09, 2015	569	218	SRR1749020	SRS802092	P00434	18-Jul-2013	city	subway	wood	P00434	40.71 N 73.83 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270398	P00435	Jan 09, 2015	929	626	SRR1749021	SRS802095	P00435	18-Jul-2013	city	subway	metal	P00435	40.71 N 73.83 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270399	P00436	Jan 09, 2015	451	170	SRR1749022	SRS802096	P00436	18-Jul-2013	city	subway	metal	P00436	40.74 N 73.88 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270400	P00437	Jan 09, 2015	574	388	SRR1749023	SRS802093	P00437	18-Jul-2013	city	subway	metal	P00437	40.70 N 73.82 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270401	P00438	Jan 09, 2015	529	202	SRR1749024	SRS802098	P00438	18-Jul-2013	city	subway	metal	P00438	40.70 N 73.82 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270402	P00439	Jan 27, 2015	622	227	SRR1749025	SRS802094	P00439	18-Jul-2013	city	subway	metal	P00439	40.74 N 73.88 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270403	P00440	Jan 09, 2015	495	189	SRR1749026	SRS802097	P00440	18-Jul-2013	city	subway	wood	P00440	40.70 N 73.80 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270404	P00441	Jan 09, 2015	1750	1146	SRR1749027	SRS802100	P00441	18-Jul-2013	city	subway	metal/plastic	P00441	40.70 N 73.80 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270405	P00442	Jan 09, 2015	532	202	SRR1749028	SRS802099	P00442	18-Jul-2013	city	subway	metal	P00442	40.70 N 73.80 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270406	P00443	Jan 09, 2015	537	200	SRR1749029	SRS802101	P00443	18-Jul-2013	city	subway	metal/plastic	P00443	40.71 N 73.79 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270407	P00444	Jan 09, 2015	1895	1252	SRR1749030	SRS802102	P00444	18-Jul-2013	city	subway	metal	P00444	40.71 N 73.79 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270408	P00445	Jan 09, 2015	573	217	SRR1749031	SRS802103	P00445	18-Jul-2013	city	subway	metal	P00445	40.70 N 73.80 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270409	P00446	Jan 27, 2015	549	202	SRR1749032	SRS802104	P00446	18-Jul-2013	city	subway	metal	P00446	40.71 N 73.78 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270410	P00447	Jan 27, 2015	589	355	SRR1749033	SRS802105	P00447	18-Jul-2013	city	subway	metal/plastic	P00447	40.71 N 73.78 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270411	P00448	Jan 09, 2015	603	229	SRR1749034	SRS802106	P00448	18-Jul-2013	city	subway	metal	P00448	40.71 N 73.78 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270412	P00449	Jan 09, 2015	582	221	SRR1749035	SRS802109	P00449	18-Jul-2013	city	subway	metal	P00449	40.71 N 73.79 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270413	P00450	Jan 09, 2015	1235	813	SRR1749036	SRS802107	P00450	18-Jul-2013	city	subway	metal	P00450	40.70 N 73.80 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270414	P00451	Jan 09, 2015	568	217	SRR1749037	SRS802108	P00451	18-Jul-2013	city	subway	metal	P00451	40.70 N 73.80 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270415	P00452	Jan 09, 2015	593	226	SRR1749038	SRS802110	P00452	19-Jul-2013	city	subway	wood	P00452	40.71 N 74.00 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270416	P00453	Jan 09, 2015	1088	727	SRR1749039	SRS802111	P00453	19-Jul-2013	city	subway	wood	P00453	40.71 N 74.00 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270417	P00454	Jan 09, 2015	1697	1122	SRR1749040	SRS802118	P00454	19-Jul-2013	city	subway	wood	P00454	40.71 N 74.00 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270418	P00455	Jan 09, 2015	609	234	SRR1749041	SRS802112	P00455	19-Jul-2013	city	subway	wood	P00455	40.71 N 74.00 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270419	P00456	Jan 09, 2015	551	210	SRR1749042	SRS802113	P00456	19-Jul-2013	city	subway	wood	P00456	40.71 N 74.00 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270420	P00457	Jan 09, 2015	655	249	SRR1749043	SRS802114	P00457	19-Jul-2013	city	subway	wood	P00457	40.69 N 73.99 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270421	P00458	Jan 09, 2015	1480	979	SRR1749044	SRS802115	P00458	19-Jul-2013	city	subway	wood	P00458	40.69 N 73.99 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270422	P00459	Jan 09, 2015	609	232	SRR1749045	SRS802116	P00459	19-Jul-2013	city	subway	wood	P00459	40.69 N 73.99 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270423	P00460	Jan 09, 2015	1076	714	SRR1749046	SRS802117	P00460	19-Jul-2013	city	subway	metal/plastic	P00460	40.69 N 73.98 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270424	P00461	Jan 09, 2015	587	225	SRR1749047	SRS802119	P00461	19-Jul-2013	city	subway	metal/plastic	P00461	40.69 N 73.98 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270425	P00462	Jan 09, 2015	389	148	SRR1749048	SRS802120	P00462	19-Jul-2013	city	subway	metal/plastic	P00462	40.69 N 73.98 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270426	P00463	Jan 09, 2015	1478	985	SRR1749049	SRS802122	P00463	19-Jul-2013	city	subway	metal/plastic	P00463	40.68 N 73.98 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270427	P00464	Jan 09, 2015	589	224	SRR1749050	SRS802124	P00464	19-Jul-2013	city	subway	metal/plastic	P00464	40.68 N 73.98 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270428	P00465	Jan 09, 2015	590	224	SRR1749051	SRS802123	P00465	19-Jul-2013	city	subway	metal/plastic	P00465	40.68 N 73.98 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270429	P00466	Jan 09, 2015	638	241	SRR1749052	SRS802121	P00466	19-Jul-2013	city	subway	wood	P00466	40.68 N 73.96 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270430	P00467	Jan 09, 2015	1859	1258	SRR1749053	SRS802125	P00467	19-Jul-2013	city	subway	wood	P00467	40.68 N 73.96 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270431	P00468	Jan 09, 2015	817	311	SRR1749054	SRS802132	P00468	19-Jul-2013	city	subway	wood	P00468	40.68 N 73.96 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270432	P00469	Jan 09, 2015	609	226	SRR1749055	SRS802127	P00469	22-Jul-2013	city	subway	metal	P00469	40.79 N 73.97 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270433	P00470	Jan 09, 2015	686	256	SRR1749056	SRS802126	P00470	22-Jul-2013	city	subway	metal	P00470	40.70 N 74.00 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270434	P00471	Jan 09, 2015	470	178	SRR1749057	SRS802131	P00471	22-Jul-2013	city	subway	metal	P00471	40.80 N 73.94 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
